id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
112,0.9,false,1101,0.4404,22.02,22.02,1,0
113,0.9,false,1126,0.4504,22.52,22.52,1,0
114,0.9,false,1100,0.44,22.0,22.0,1,0
115,0.9,false,1115,0.446,22.3,22.3,1,0
116,0.9,false,1141,0.4564,22.82,22.82,1,0
117,0.9,false,1128,0.4512,22.56,22.56,0,0
118,0.9,false,1096,0.4384,21.92,21.92,1,0
119,0.9,false,1131,0.4524,22.62,22.62,0,0
120,0.9,false,1127,0.4508,22.54,22.54,1,0
121,0.9,false,1116,0.4464,22.32,22.32,0,0
122,0.9,false,1119,0.4476,22.38,22.38,0,0
123,0.9,false,1104,0.4416,22.08,22.08,2,0
124,0.9,false,1124,0.4496,22.48,22.48,2,0
125,0.9,false,1126,0.4504,22.52,22.52,1,0
126,0.9,false,1092,0.4368,21.84,21.84,1,0
127,0.9,false,1096,0.4384,21.92,21.92,0,0
128,0.9,false,1121,0.4484,22.42,22.42,2,0
129,0.9,false,1141,0.4564,22.82,22.82,2,0
130,0.9,false,1085,0.434,21.7,21.7,1,0
131,0.9,false,1109,0.4436,22.18,22.18,1,0
132,0.9,false,1123,0.4492,22.46,22.46,0,0
133,0.9,false,1068,0.4272,21.36,21.36,1,0
134,0.9,false,1142,0.4568,22.84,22.84,0,0
135,0.9,false,1083,0.4332,21.66,21.66,1,0
136,0.9,false,1129,0.4516,22.58,22.58,0,0
137,0.9,false,1112,0.4448,22.24,22.24,0,0
138,0.9,false,1092,0.4368,21.84,21.84,1,0
139,0.9,false,1116,0.4464,22.32,22.32,1,0
140,0.9,false,1094,0.4376,21.88,21.88,3,0
141,0.9,false,1119,0.4476,22.38,22.38,1,0
142,0.9,false,1115,0.446,22.3,22.3,1,0
143,0.9,false,1125,0.45,22.5,22.5,0,0
144,0.9,false,1114,0.4456,22.28,22.28,2,0
145,0.9,false,1122,0.4488,22.44,22.44,0,0
146,0.9,false,1132,0.4528,22.64,22.64,0,0
147,0.9,false,1092,0.4368,21.84,21.84,1,0
148,0.9,false,1098,0.4392,21.96,21.96,0,0
149,0.9,false,1119,0.4476,22.38,22.38,2,0
150,0.9,false,1144,0.4576,22.88,22.88,0,0
151,0.9,false,1101,0.4404,22.02,22.02,1,0
152,0.9,false,1127,0.4508,22.54,22.54,1,0
153,0.9,false,1085,0.434,21.7,21.7,1,0
154,0.9,false,1096,0.4384,21.92,21.92,2,0
155,0.9,false,1130,0.452,22.6,22.6,2,0
156,0.9,false,1143,0.4572,22.86,22.86,1,0
157,0.9,false,1137,0.4548,22.74,22.74,1,0
158,0.9,false,1132,0.4528,22.64,22.64,1,0
159,0.9,false,1096,0.4384,21.92,21.92,1,0
160,0.9,false,1130,0.452,22.6,22.6,0,0
161,0.9,false,1110,0.444,22.2,22.2,2,0
162,0.9,false,1094,0.4376,21.88,21.88,1,0
163,0.9,false,1127,0.4508,22.54,22.54,1,0
164,0.9,false,1132,0.4528,22.64,22.64,0,0
165,0.9,false,1140,0.456,22.8,22.8,1,0
166,0.9,false,1087,0.4348,21.74,21.74,0,0
167,0.9,false,1069,0.4276,21.38,21.38,1,0
168,0.9,false,1139,0.4556,22.78,22.78,2,0
169,0.9,false,1106,0.4424,22.12,22.12,2,0
170,0.9,false,1115,0.446,22.3,22.3,1,0
171,0.9,false,1149,0.4596,22.98,22.98,0,0
172,0.9,false,1130,0.452,22.6,22.6,0,0
173,0.9,false,1095,0.438,21.9,21.9,1,0
174,0.9,false,1105,0.442,22.1,22.1,1,0
175,0.9,false,1100,0.44,22.0,22.0,1,0
176,0.9,false,1176,0.4704,23.52,23.52,2,0
177,0.9,false,1109,0.4436,22.18,22.18,3,0
178,0.9,false,1104,0.4416,22.08,22.08,1,0
179,0.9,false,1130,0.452,22.6,22.6,0,0
180,0.9,false,1138,0.4552,22.76,22.76,0,0
181,0.9,false,1117,0.4468,22.34,22.34,2,0
182,0.9,false,1111,0.4444,22.22,22.22,0,0
183,0.9,false,1085,0.434,21.7,21.7,3,0
184,0.9,false,1128,0.4512,22.56,22.56,1,0
185,0.9,false,1185,0.474,23.7,23.7,0,0
186,0.9,false,1136,0.4544,22.72,22.72,2,0
187,0.9,false,1100,0.44,22.0,22.0,1,0
188,0.9,false,1067,0.4268,21.34,21.34,2,0
189,0.9,false,1095,0.438,21.9,21.9,2,0
190,0.9,false,1114,0.4456,22.28,22.28,1,0
191,0.9,false,1139,0.4556,22.78,22.78,1,0
192,0.9,false,1105,0.442,22.1,22.1,2,0
193,0.9,false,1123,0.4492,22.46,22.46,0,0
194,0.9,false,1059,0.4236,21.18,21.18,2,0
195,0.9,false,1116,0.4464,22.32,22.32,0,0
196,0.9,false,1120,0.448,22.4,22.4,0,0
197,0.9,false,1115,0.446,22.3,22.3,1,0
198,0.9,false,1100,0.44,22.0,22.0,1,0
199,0.9,false,1155,0.462,23.1,23.1,1,0
200,0.9,false,1101,0.4404,22.02,22.02,2,0
201,0.9,false,1118,0.4472,22.36,22.36,1,0
202,0.9,false,1143,0.4572,22.86,22.86,0,0
203,0.9,false,1129,0.4516,22.58,22.58,1,0
204,0.9,false,1129,0.4516,22.58,22.58,0,0
205,0.9,false,1103,0.4412,22.06,22.06,0,0
206,0.9,false,1088,0.4352,21.76,21.76,2,0
207,0.9,false,1102,0.4408,22.04,22.04,2,0
208,0.9,false,1081,0.4324,21.62,21.62,1,0
209,0.9,false,1110,0.444,22.2,22.2,2,0
210,0.9,false,1115,0.446,22.3,22.3,2,0
211,0.9,false,1118,0.4472,22.36,22.36,1,0
212,0.9,false,1135,0.454,22.7,22.7,1,0
213,0.9,false,1136,0.4544,22.72,22.72,1,0
214,0.9,false,1118,0.4472,22.36,22.36,2,0
215,0.9,false,1147,0.4588,22.94,22.94,2,0
216,0.9,false,1140,0.456,22.8,22.8,0,0
217,0.9,false,1105,0.442,22.1,22.1,1,0
218,0.9,false,1110,0.444,22.2,22.2,2,0
219,0.9,false,1132,0.4528,22.64,22.64,0,0
220,0.9,false,1104,0.4416,22.08,22.08,2,0
221,0.9,false,1093,0.4372,21.86,21.86,1,0
222,0.9,false,1119,0.4476,22.38,22.38,1,0
223,0.9,false,1132,0.4528,22.64,22.64,2,0
224,0.9,false,1106,0.4424,22.12,22.12,2,0
225,0.9,false,1143,0.4572,22.86,22.86,1,0
226,0.9,false,1137,0.4548,22.74,22.74,0,0
227,0.9,false,1155,0.462,23.1,23.1,1,0
228,0.9,false,1106,0.4424,22.12,22.12,1,0
229,0.9,false,1130,0.452,22.6,22.6,1,0
230,0.9,false,1092,0.4368,21.84,21.84,1,0
231,0.9,false,1140,0.456,22.8,22.8,1,0
232,0.9,false,1085,0.434,21.7,21.7,0,0
233,0.9,false,1115,0.446,22.3,22.3,1,0
234,0.9,false,1124,0.4496,22.48,22.48,0,0
235,0.9,false,1142,0.4568,22.84,22.84,1,0
236,0.9,false,1138,0.4552,22.76,22.76,2,0
237,0.9,false,1125,0.45,22.5,22.5,0,0
238,0.9,false,1123,0.4492,22.46,22.46,1,0
239,0.9,false,1115,0.446,22.3,22.3,2,0
240,0.9,false,1156,0.4624,23.12,23.12,2,0
241,0.9,false,1124,0.4496,22.48,22.48,1,0
242,0.9,false,1106,0.4424,22.12,22.12,1,0
243,0.9,false,1105,0.442,22.1,22.1,0,0
244,0.9,false,1098,0.4392,21.96,21.96,1,0
245,0.9,false,1153,0.4612,23.06,23.06,1,0
246,0.9,false,1109,0.4436,22.18,22.18,1,0
247,0.9,false,1095,0.438,21.9,21.9,0,0
248,0.9,false,1091,0.4364,21.82,21.82,1,0
249,0.9,false,1133,0.4532,22.66,22.66,1,0
250,0.9,false,1129,0.4516,22.58,22.58,0,0
251,0.9,false,1103,0.4412,22.06,22.06,1,0
252,0.9,false,1139,0.4556,22.78,22.78,2,0
253,0.9,false,1121,0.4484,22.42,22.42,1,0
254,0.9,false,1102,0.4408,22.04,22.04,1,0
255,0.9,false,1111,0.4444,22.22,22.22,0,0
256,0.9,false,1143,0.4572,22.86,22.86,2,0
257,0.9,false,1137,0.4548,22.74,22.74,0,0
258,0.9,false,1110,0.444,22.2,22.2,2,0
259,0.9,false,1120,0.448,22.4,22.4,0,0
260,0.9,false,1155,0.462,23.1,23.1,1,0
261,0.9,false,1119,0.4476,22.38,22.38,1,0
262,0.9,false,1120,0.448,22.4,22.4,2,0
263,0.9,false,1124,0.4496,22.48,22.48,1,0
264,0.9,false,1103,0.4412,22.06,22.06,1,0
265,0.9,false,1087,0.4348,21.74,21.74,1,0
266,0.9,false,1131,0.4524,22.62,22.62,1,0
267,0.9,false,1138,0.4552,22.76,22.76,1,0
268,0.9,false,1155,0.462,23.1,23.1,0,0
269,0.9,false,1148,0.4592,22.96,22.96,1,0
270,0.9,false,1109,0.4436,22.18,22.18,0,0
271,0.9,false,1124,0.4496,22.48,22.48,2,0
272,0.9,false,1156,0.4624,23.12,23.12,0,0
273,0.9,false,1108,0.4432,22.16,22.16,0,0
274,0.9,false,1135,0.454,22.7,22.7,1,0
275,0.9,false,1157,0.4628,23.14,23.14,1,0
276,0.9,false,1114,0.4456,22.28,22.28,1,0
277,0.9,false,1118,0.4472,22.36,22.36,0,0
278,0.9,false,1101,0.4404,22.02,22.02,1,0
279,0.9,false,1137,0.4548,22.74,22.74,0,0
280,0.9,false,1078,0.4312,21.56,21.56,1,0
281,0.9,false,1125,0.45,22.5,22.5,1,0
282,0.9,false,1058,0.4232,21.16,21.16,1,0
283,0.9,false,1139,0.4556,22.78,22.78,2,0
284,0.9,false,1108,0.4432,22.16,22.16,2,0
285,0.9,false,1129,0.4516,22.58,22.58,2,0
286,0.9,false,1152,0.4608,23.04,23.04,1,0
287,0.9,false,1144,0.4576,22.88,22.88,0,0
288,0.9,false,1151,0.4604,23.02,23.02,0,0
289,0.9,false,1097,0.4388,21.94,21.94,1,0
290,0.9,false,1116,0.4464,22.32,22.32,0,0
291,0.9,false,1139,0.4556,22.78,22.78,1,0
292,0.9,false,1132,0.4528,22.64,22.64,1,0
293,0.9,false,1159,0.4636,23.18,23.18,2,0
294,0.9,false,1087,0.4348,21.74,21.74,1,0
295,0.9,false,1100,0.44,22.0,22.0,1,0
296,0.9,false,1114,0.4456,22.28,22.28,1,0
297,0.9,false,1126,0.4504,22.52,22.52,1,0
298,0.9,false,1124,0.4496,22.48,22.48,1,0
299,0.9,false,1124,0.4496,22.48,22.48,1,0
300,0.9,false,1168,0.4672,23.36,23.36,1,0
301,0.9,false,1126,0.4504,22.52,22.52,1,0
302,0.9,false,1125,0.45,22.5,22.5,0,0
303,0.9,false,1120,0.448,22.4,22.4,2,0
304,0.9,false,1146,0.4584,22.92,22.92,0,0
305,0.9,false,1112,0.4448,22.24,22.24,1,0
306,0.9,false,1129,0.4516,22.58,22.58,2,0
307,0.9,false,1124,0.4496,22.48,22.48,2,0
308,0.9,false,1077,0.4308,21.54,21.54,1,0
309,0.9,false,1097,0.4388,21.94,21.94,0,0
310,0.9,false,1112,0.4448,22.24,22.24,0,0
311,0.9,false,1141,0.4564,22.82,22.82,1,0
312,0.9,false,1119,0.4476,22.38,22.38,0,0
313,0.9,false,1144,0.4576,22.88,22.88,0,0
314,0.9,false,1094,0.4376,21.88,21.88,1,0
315,0.9,false,1131,0.4524,22.62,22.62,1,0
316,0.9,false,1125,0.45,22.5,22.5,2,0
317,0.9,false,1146,0.4584,22.92,22.92,1,0
318,0.9,false,1096,0.4384,21.92,21.92,1,0
319,0.9,false,1110,0.444,22.2,22.2,0,0
320,0.9,false,1152,0.4608,23.04,23.04,0,0
321,0.9,false,1097,0.4388,21.94,21.94,1,0
322,0.9,false,1109,0.4436,22.18,22.18,1,0
323,0.9,false,1111,0.4444,22.22,22.22,0,0
324,0.9,false,1095,0.438,21.9,21.9,0,0
325,0.9,false,1125,0.45,22.5,22.5,1,0
326,0.9,false,1108,0.4432,22.16,22.16,1,0
327,0.9,false,1090,0.436,21.8,21.8,0,0
328,0.9,false,1141,0.4564,22.82,22.82,1,0
329,0.9,false,1157,0.4628,23.14,23.14,1,0
330,0.9,false,1125,0.45,22.5,22.5,1,0
331,0.9,false,1101,0.4404,22.02,22.02,0,0
332,0.9,false,1100,0.44,22.0,22.0,1,0
333,0.9,false,1122,0.4488,22.44,22.44,1,0
334,0.9,false,1098,0.4392,21.96,21.96,2,0
335,0.9,false,1146,0.4584,22.92,22.92,1,0
336,0.9,false,1096,0.4384,21.92,21.92,1,0
337,0.9,false,1117,0.4468,22.34,22.34,2,0
338,0.9,false,1080,0.432,21.6,21.6,1,0
339,0.9,false,1130,0.452,22.6,22.6,1,0
340,0.9,false,1139,0.4556,22.78,22.78,1,0
341,0.9,false,1137,0.4548,22.74,22.74,0,0
342,0.9,false,1096,0.4384,21.92,21.92,1,0
343,0.9,false,1092,0.4368,21.84,21.84,1,0
344,0.9,false,1123,0.4492,22.46,22.46,0,0
345,0.9,false,1127,0.4508,22.54,22.54,1,0
346,0.9,false,1120,0.448,22.4,22.4,1,0
347,0.9,false,1075,0.43,21.5,21.5,2,0
348,0.9,false,1089,0.4356,21.78,21.78,1,0
349,0.9,false,1116,0.4464,22.32,22.32,1,0
350,0.9,false,1092,0.4368,21.84,21.84,0,0
351,0.9,false,1137,0.4548,22.74,22.74,1,0
352,0.9,false,1094,0.4376,21.88,21.88,2,0
353,0.9,false,1100,0.44,22.0,22.0,2,0
354,0.9,false,1078,0.4312,21.56,21.56,1,0
355,0.9,false,1073,0.4292,21.46,21.46,1,0
356,0.9,false,1127,0.4508,22.54,22.54,1,0
357,0.9,false,1127,0.4508,22.54,22.54,2,0
358,0.9,false,1127,0.4508,22.54,22.54,1,0
359,0.9,false,1120,0.448,22.4,22.4,1,0
360,0.9,false,1123,0.4492,22.46,22.46,1,0
361,0.9,false,1116,0.4464,22.32,22.32,0,0
362,0.9,false,1107,0.4428,22.14,22.14,1,0
